date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
19-04-2016,73,55,64,0,0,0
20-04-2016,69,49,59,0,0,0
21-04-2016,73,49,61,0,0,0
22-04-2016,79,62,70.5,T,0,0
23-04-2016,71,54,62.5,0.16,0,0
24-04-2016,68,47,57.5,0,0,0
25-04-2016,69,50,59.5,0,0,0
26-04-2016,60,47,53.5,0.24,0,0
27-04-2016,62,46,54,0,0,0
28-04-2016,59,48,53.5,0,0,0
29-04-2016,58,45,51.5,0.05,0,0
30-04-2016,65,46,55.5,0,0,0
01-05-2016,51,45,48,0.16,0,0
02-05-2016,60,45,52.5,0.04,0,0
03-05-2016,56,51,53.5,0.61,0,0
04-05-2016,52,48,50,0.01,0,0
05-05-2016,57,46,51.5,0,0,0
06-05-2016,54,48,51,0.54,0,0
07-05-2016,60,48,54,0,0,0
08-05-2016,66,49,57.5,0.16,0,0
09-05-2016,72,52,62,0,0,0
10-05-2016,63,50,56.5,0,0,0
11-05-2016,76,50,63,0,0,0
12-05-2016,80,56,68,0,0,0
13-05-2016,65,57,61,0.25,0,0
14-05-2016,73,56,64.5,0,0,0
15-05-2016,59,46,52.5,0,0,0
16-05-2016,66,43,54.5,0,0,0
17-05-2016,64,52,58,0,0,0
18-05-2016,68,52,60,T,0,0
19-05-2016,73,54,63.5,0,0,0
20-05-2016,76,53,64.5,0,0,0
21-05-2016,66,54,60,0.04,0,0
22-05-2016,70,52,61,0.09,0,0
23-05-2016,78,56,67,0.02,0,0
24-05-2016,73,58,65.5,0.18,0,0
25-05-2016,88,61,74.5,0,0,0
26-05-2016,90,69,79.5,0,0,0
27-05-2016,87,73,80,0,0,0
28-05-2016,92,71,81.5,0,0,0
29-05-2016,87,70,78.5,T,0,0
30-05-2016,82,68,75,1.65,0,0
31-05-2016,85,71,78,0,0,0
01-06-2016,83,66,74.5,0,0,0
02-06-2016,78,62,70,0,0,0
03-06-2016,70,63,66.5,0.04,0,0
04-06-2016,83,66,74.5,0.4,0,0
05-06-2016,71,65,68,0.91,0,0
06-06-2016,83,65,74,0,0,0
07-06-2016,85,64,74.5,T,0,0
08-06-2016,67,52,59.5,0.45,0,0
09-06-2016,71,54,62.5,0,0,0
10-06-2016,77,57,67,0,0,0
11-06-2016,88,59,73.5,0,0,0
12-06-2016,83,62,72.5,0,0,0
13-06-2016,74,57,65.5,0,0,0
14-06-2016,79,58,68.5,0,0,0
15-06-2016,85,62,73.5,0,0,0
16-06-2016,74,65,69.5,0.22,0,0
17-06-2016,78,63,70.5,0,0,0
18-06-2016,87,61,74,0,0,0
19-06-2016,88,66,77,0,0,0
20-06-2016,84,64,74,0,0,0
21-06-2016,87,72,79.5,T,0,0
22-06-2016,86,68,77,0,0,0
23-06-2016,83,69,76,0,0,0
24-06-2016,84,67,75.5,0,0,0
25-06-2016,86,64,75,0,0,0
26-06-2016,87,67,77,0,0,0
27-06-2016,83,67,75,0.45,0,0
28-06-2016,76,68,72,0.12,0,0
29-06-2016,83,67,75,0.01,0,0
30-06-2016,85,67,76,0,0,0
01-07-2016,79,66,72.5,0.83,0,0
02-07-2016,76,63,69.5,0,0,0
03-07-2016,78,64,71,0,0,0
04-07-2016,84,66,75,0.49,0,0
05-07-2016,86,69,77.5,0.66,0,0
06-07-2016,91,75,83,0,0,0
07-07-2016,89,77,83,0.04,0,0
08-07-2016,86,67,76.5,0.08,0,0
09-07-2016,72,65,68.5,0.53,0,0
10-07-2016,80,66,73,T,0,0
11-07-2016,81,65,73,0,0,0
12-07-2016,82,68,75,0,0,0
13-07-2016,85,71,78,0,0,0
14-07-2016,88,73,80.5,0.62,0,0
15-07-2016,88,79,83.5,0,0,0
16-07-2016,90,75,82.5,T,0,0
17-07-2016,89,75,82,0,0,0
18-07-2016,93,72,82.5,0.35,0,0
19-07-2016,83,73,78,0,0,0
20-07-2016,85,68,76.5,0,0,0
21-07-2016,90,71,80.5,0,0,0
22-07-2016,94,74,84,0,0,0
23-07-2016,96,80,88,0,0,0
24-07-2016,94,75,84.5,0,0,0
25-07-2016,93,73,83,1,0,0
26-07-2016,89,72,80.5,0,0,0
27-07-2016,91,74,82.5,0,0,0
28-07-2016,95,75,85,T,0,0
29-07-2016,85,69,77,1.09,0,0
30-07-2016,84,73,78.5,0.25,0,0
31-07-2016,78,71,74.5,1.08,0,0
01-08-2016,80,69,74.5,T,0,0
02-08-2016,79,68,73.5,0,0,0
03-08-2016,80,66,73,0,0,0
04-08-2016,81,67,74,0,0,0
05-08-2016,83,69,76,0,0,0
06-08-2016,87,72,79.5,0.05,0,0
07-08-2016,86,70,78,0,0,0
08-08-2016,86,71,78.5,0,0,0
09-08-2016,87,71,79,0,0,0
10-08-2016,86,75,80.5,0.09,0,0
11-08-2016,91,74,82.5,0.15,0,0
12-08-2016,93,73,83,0.32,0,0
13-08-2016,96,81,88.5,0,0,0
14-08-2016,94,78,86,0.06,0,0
15-08-2016,92,77,84.5,0,0,0
16-08-2016,87,78,82.5,0.11,0,0
17-08-2016,85,77,81,0.01,0,0
18-08-2016,85,72,78.5,0.03,0,0
19-08-2016,88,74,81,0.01,0,0
20-08-2016,83,70,76.5,0.82,0,0
21-08-2016,86,73,79.5,0.31,0,0
22-08-2016,79,65,72,0,0,0
23-08-2016,82,61,71.5,0,0,0
24-08-2016,88,68,78,0,0,0
25-08-2016,86,69,77.5,0.01,0,0
26-08-2016,90,75,82.5,0,0,0
27-08-2016,89,73,81,0,0,0
28-08-2016,89,72,80.5,0,0,0
29-08-2016,91,74,82.5,0,0,0
30-08-2016,86,69,77.5,0,0,0
31-08-2016,89,74,81.5,T,0,0
01-09-2016,79,69,74,0.5,0,0
02-09-2016,81,66,73.5,0,0,0
03-09-2016,75,66,70.5,0,0,0
04-09-2016,80,65,72.5,0,0,0
05-09-2016,84,65,74.5,0,0,0
06-09-2016,80,71,75.5,T,0,0
07-09-2016,85,71,78,0,0,0
08-09-2016,89,71,80,0,0,0
09-09-2016,91,75,83,0.22,0,0
10-09-2016,90,74,82,T,0,0
11-09-2016,83,67,75,0,0,0
12-09-2016,78,62,70,0,0,0
13-09-2016,83,64,73.5,0,0,0
14-09-2016,91,67,79,0.56,0,0
15-09-2016,74,61,67.5,0,0,0
16-09-2016,73,61,67,0,0,0
17-09-2016,77,59,68,0,0,0
18-09-2016,82,70,76,0,0,0
19-09-2016,76,69,72.5,0.68,0,0
20-09-2016,82,68,75,0,0,0
21-09-2016,84,68,76,0,0,0
22-09-2016,86,65,75.5,0,0,0
23-09-2016,87,64,75.5,0.01,0,0
24-09-2016,71,58,64.5,0.2,0,0
25-09-2016,70,54,62,0,0,0
26-09-2016,74,54,64,0,0,0
27-09-2016,74,64,69,0.22,0,0
28-09-2016,69,56,62.5,0,0,0
29-09-2016,64,57,60.5,0,0,0
30-09-2016,59,56,57.5,0.4,0,0
01-10-2016,62,56,59,0,0,0
02-10-2016,63,57,60,0,0,0
03-10-2016,72,60,66,0,0,0
04-10-2016,69,60,64.5,0,0,0
05-10-2016,67,53,60,0,0,0
06-10-2016,73,55,64,0,0,0
07-10-2016,75,57,66,0,0,0
08-10-2016,68,58,63,0.23,0,0
09-10-2016,65,51,58,0.55,0,0
10-10-2016,64,47,55.5,0,0,0
11-10-2016,63,46,54.5,0,0,0
12-10-2016,66,53,59.5,0,0,0
13-10-2016,67,53,60,T,0,0
14-10-2016,62,47,54.5,0,0,0
15-10-2016,65,45,55,0,0,0
16-10-2016,69,53,61,0,0,0
17-10-2016,81,63,72,0,0,0
18-10-2016,81,67,74,0,0,0
19-10-2016,85,65,75,0,0,0
20-10-2016,70,62,66,0,0,0
21-10-2016,69,57,63,1.11,0,0
22-10-2016,57,47,52,0.29,0,0
23-10-2016,61,45,53,0,0,0
24-10-2016,62,47,54.5,T,0,0
25-10-2016,52,43,47.5,0,0,0
26-10-2016,51,38,44.5,0,0,0
27-10-2016,55,40,47.5,1.41,0,0
28-10-2016,51,42,46.5,0,0,0
29-10-2016,64,39,51.5,0,0,0
30-10-2016,76,54,65,0.56,0,0
31-10-2016,54,44,49,0,0,0
01-11-2016,58,40,49,0,0,0
02-11-2016,70,54,62,0,0,0
03-11-2016,72,57,64.5,0,0,0
04-11-2016,61,47,54,0,0,0
05-11-2016,62,44,53,0,0,0
06-11-2016,59,45,52,0,0,0
07-11-2016,53,41,47,0,0,0
08-11-2016,66,41,53.5,0,0,0
09-11-2016,59,49,54,0.06,0,0
10-11-2016,56,40,48,0,0,0
11-11-2016,63,41,52,0,0,0
12-11-2016,50,37,43.5,0,0,0
13-11-2016,61,41,51,0,0,0
14-11-2016,62,46,54,0,0,0
15-11-2016,56,47,51.5,1.81,0,0
16-11-2016,61,45,53,0,0,0
17-11-2016,61,49,55,0,0,0
18-11-2016,64,44,54,0,0,0
19-11-2016,63,37,50,0.25,0,0
20-11-2016,42,34,38,0.31,T,0
21-11-2016,41,36,38.5,0,0,0
22-11-2016,41,37,39,0,0,0
23-11-2016,45,35,40,0,0,0
24-11-2016,48,38,43,0.03,0,0
25-11-2016,54,45,49.5,0.02,0,0
26-11-2016,50,40,45,0,0,0
27-11-2016,50,39,44.5,0,0,0
28-11-2016,52,38,45,0,0,0
29-11-2016,60,51,55.5,2.2,0,0
30-11-2016,58,50,54,0.73,0,0
01-12-2016,54,42,48,0.07,0,0
02-12-2016,51,40,45.5,0,0,0
03-12-2016,47,41,44,T,0,0
04-12-2016,47,39,43,0,0,0
05-12-2016,49,38,43.5,0.19,0,0
06-12-2016,46,37,41.5,0.35,0,0
07-12-2016,46,40,43,0.09,0,0
08-12-2016,45,35,40,0,0,0
09-12-2016,39,29,34,0,0,0
10-12-2016,35,28,31.5,0,0,0
11-12-2016,35,28,31.5,0.03,0.4,0
12-12-2016,46,34,40,0.5,0,0
13-12-2016,43,35,39,0,0,0
14-12-2016,42,34,38,0,0,0
15-12-2016,34,19,26.5,0,T,0
16-12-2016,27,17,22,0,0,0
17-12-2016,39,24,31.5,0.73,2.8,2
18-12-2016,58,31,44.5,0.04,0,1
19-12-2016,31,23,27,0,0,0
20-12-2016,33,20,26.5,0,0,0
21-12-2016,40,30,35,0,0,0
22-12-2016,49,37,43,0,0,0
23-12-2016,47,38,42.5,0,0,0
24-12-2016,47,38,42.5,0.47,0,0
25-12-2016,50,36,43,0,0,0
26-12-2016,50,33,41.5,0.02,0,0
27-12-2016,60,40,50,0,0,0
28-12-2016,40,34,37,0,0,0
29-12-2016,46,33,39.5,0.39,0,0
30-12-2016,40,33,36.5,0.01,T,0
31-12-2016,44,31,37.5,0,0,0
